Date: 4/25/2026

Start, Stop, Increment
Energy UDP
Start: 970.00000000
Stop: 1010.00000000
Increment: 0.20000000
Delay After Move (s): 0.10000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 1
Description Length: 0

Time (s)	Energy UDP	Izero	TEY	Filtered TEY	Filtered Izero	AI 2	AI 3_AWG	Channeltron	SSD CH 1	SSD CH 2	SSD CH 3	SSD CH 4	SSD CH 5	SSD CH 6	Beam Current	X Position	Y Position	Z Position	Ortec Counter	Gate	Gate 2	DioLaserOn	DioLaserOff	TFY_laserOn	TFY_laserOff
190.36500000	979.00289406	0.31548246	0.00094199	0.00000000	0.00000000	0.00000000	0.00000000	12870.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.39704871	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
193.58100000	979.20351488	0.31306731	0.00095104	0.00000000	0.00000000	0.00000000	0.00000000	12699.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.31859772	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
196.90100000	979.40421794	0.31469381	0.00091599	0.00000000	0.00000000	0.00000000	0.00000000	11941.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.23765678	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
201.60500000	979.60500330	0.31159272	0.00093590	0.00000000	0.00000000	0.00000000	0.00000000	11895.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.14485560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
204.29900000	979.79869574	0.30944863	0.00093854	0.00000000	0.00000000	0.00000000	0.00000000	11103.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.08756578	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
208.04500000	980.00682111	0.31354376	0.00093722	0.00000000	0.00000000	0.00000000	0.00000000	11274.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	499.98914660	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
213.19900000	980.22939776	0.31452216	0.00093327	0.00000000	0.00000000	0.00000000	0.00000000	10966.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.52298458	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
216.90100000	980.40896871	0.31800145	0.00093804	0.00000000	0.00000000	0.00000000	0.00000000	10847.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.43435645	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
221.98700000	980.61016632	0.31266048	0.00094644	0.00000000	0.00000000	0.00000000	0.00000000	10668.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.32775300	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
225.47500000	980.80425652	0.30877601	0.00095977	0.00000000	0.00000000	0.00000000	0.00000000	10268.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.23995947	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
