Date: 4/24/2026

Start, Stop, Increment
Energy UDP
Start: 970.00000000
Stop: 1010.00000000
Increment: 0.20000000
Delay After Move (s): 0.20000000
Count Time (s): 2.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 1
Description Length: 0

Time (s)	Energy UDP	Izero	TEY	Filtered TEY	Filtered Izero	AI 2	AI 3_AWG	Channeltron	SSD CH 1	SSD CH 2	SSD CH 3	SSD CH 4	SSD CH 5	SSD CH 6	Beam Current	X Position	Y Position	Z Position	Ortec Counter	Gate	Gate 2	DioLaserOn	DioLaserOff	TFY_laserOn	TFY_laserOff
255.47600000	981.00561642	0.33233227	0.00093236	0.00000000	0.00000000	0.00000000	0.00000000	4984.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.02965521	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
258.59600000	981.20705902	0.33594601	0.00093705	0.00000000	0.00000000	0.00000000	0.00000000	4981.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.29026988	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
261.87400000	981.40138562	0.33523628	0.00095211	0.00000000	0.00000000	0.00000000	0.00000000	4946.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	501.01148199	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
265.68000000	981.61019253	0.33563151	0.00094035	0.00000000	0.00000000	0.00000000	0.00000000	4883.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.92917718	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
268.91200000	981.81908833	0.33824489	0.00094849	0.00000000	0.00000000	0.00000000	0.00000000	5027.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.86019110	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
272.23600000	982.01365746	0.33306553	0.00094841	0.00000000	0.00000000	0.00000000	0.00000000	4792.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.78759741	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
276.53300000	982.20830373	0.33589845	0.00095368	0.00000000	0.00000000	0.00000000	0.00000000	4787.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.69833350	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
280.81800000	982.41024064	0.33071046	0.00094956	0.00000000	0.00000000	0.00000000	0.00000000	4807.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.60296606	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
285.65200000	982.63391054	0.33174128	0.00094183	0.00000000	0.00000000	0.00000000	0.00000000	4654.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.50366949	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
289.82500000	982.80714429	0.33435029	0.00094907	0.00000000	0.00000000	0.00000000	0.00000000	4655.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.41452002	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
